"Account_Name","Branch","Owner","Interest","Lead_Source","Hakalot","Amount","Amount_after_discount","ConvertedFromLead"
"11A0472B-8890-EB11-80F0-00505697537D",C746C8EA-B386-E011-942D-005056BD3748,"3D4185CC-D55D-E011-8A44-005056BD3748","861650001",google,,9963,7970,A1CDEE1C-408F-EB11-A4F8-00505697537D
C564327E-4CCB-EA11-81AC-00505697537D,"08C74B2E-B473-E811-B9FF-00505697537D","04A2E930-1A32-EB11-B993-00505697537D","861650000","",,0,0,"7CDF272C-8990-EB11-80F0-00505697537D"
"0B94B9B9-8A90-EB11-80F0-00505697537D","08C74B2E-B473-E811-B9FF-00505697537D","3D4185CC-D55D-E011-8A44-005056BD3748","861650000",website organic,,0,0,A7330406-DF8C-EB11-A4F8-00505697537D
"","","8B56928D-71B0-EA11-81AC-00505697537D","","",,,,""
"","","","","",,,,""
"","","0","75F8E6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"",website organic,"9963","0BF4E6A8-C870-E011-A41E-005056BD3748","",,,9963,"0"
C1ECB6EE-8E90-EB11-80F0-00505697537D,"08C74B2E-B473-E811-B9FF-00505697537D",BECA5A64-6EC9-E911-BC50-00505697537D,"861650000","",,0,0,"2431A96C-E102-EB11-B993-00505697537D"
CCDB0B8B-1AEA-E711-BFC0-00505697537D,"2A728C40-B473-E811-B9FF-00505697537D","44CF899A-1FF7-EA11-B993-00505697537D","861650001","",,9963,7173,"6EA762A7-9290-EB11-80F0-00505697537D"
"568E933E-9390-EB11-80F0-00505697537D","2EFCF004-A870-E011-A41E-005056BD3748","5D807451-5CE1-E611-A6A0-0050569937A8","861650001","",,0,0,"68F2394C-9390-EB11-80F0-00505697537D"
"2128EDBA-692D-EA11-B747-00505697537D","2168DCEA-8AD5-E611-A6A0-0050569937A8","4122A2D3-BE1D-EB11-B993-00505697537D","861650001","",,2970,2970,F23ACC0A-9590-EB11-80F0-00505697537D
"","",A9C66B21-511C-EB11-B993-00505697537D,"","",,,,""
"","","500",E1F1E6A8-C870-E011-A41E-005056BD3748,"",,,500,"0"
"","",A9C66B21-511C-EB11-B993-00505697537D,"","",,,,""
"","","0","73F3E6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
"","","1FCB0AF7-D456-EA11-AC48-00505697537D","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"","","9963","75F8E6A8-C870-E011-A41E-005056BD3748","",,,9963,"0"
F619A702-9A90-EB11-80F0-00505697537D,"27D74FAF-B386-E011-942D-005056BD3748","3D4185CC-D55D-E011-8A44-005056BD3748","861650001",google,,9963,7970,"7761717D-5E90-EB11-80F0-00505697537D"
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"",google,"0",B7F6E6A8-C870-E011-A41E-005056BD3748,"",,,0,"0"
"75CD042B-9B90-EB11-80F0-00505697537D","2168DCEA-8AD5-E611-A6A0-0050569937A8",E6607999-BF1D-EB11-B993-00505697537D,"861650001","",,9963,7970,"0F83B567-9B90-EB11-80F0-00505697537D"
"","","56BB1630-1B7F-EB11-A4F8-00505697537D","","",,,,""
"","","0","1FF4E6A8-C870-E011-A41E-005056BD3748","",,,0,"0"
AE2EC51E-C955-EB11-974B-00505697537D,"27D74FAF-B386-E011-942D-005056BD3748","1FCB0AF7-D456-EA11-AC48-00505697537D","861650001","",,9963,7970,"1292118A-A190-EB11-80F0-00505697537D"
"","","3D4185CC-D55D-E011-8A44-005056BD3748","","",,,,""
"","","","","",,,,""
"","","","","",,,,""
"",website organic,"9963","09F8E6A8-C870-E011-A41E-005056BD3748","",,,9963,"0"
"","","56BB1630-1B7F-EB11-A4F8-00505697537D","","",,,,""
"","","0",B1EFE6A8-C870-E011-A41E-005056BD3748,"",,,0,"0"
"8E8D7AC7-A390-EB11-80F0-00505697537D",CAF39B86-F270-E011-A41E-005056BD3748,"44CF899A-1FF7-EA11-B993-00505697537D","861650001","",,9963,7970,D32D7BD7-A390-EB11-80F0-00505697537D
