"Contact_Name","Status","Class_Name","Amount","Paid","Course_Name","StudyAgreement","askTeacher","NumOfMiss","Deal_Name","Discount_Reason","Discount_Reason2","interest","hybrid"
D39FDCCE-16FF-EA11-B993-00505697537D,861650002,F902C436-5A09-EB11-B993-00505697537D,970,970,A9180532-5FF9-E811-AD77-00505697537D,False,"","","3A7722A0-7690-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"91B9AAD1-7690-EB11-80F0-00505697537D",861650002,"83607FC7-5209-EB11-B993-00505697537D",7970,7970,"89CA8E9E-5EF9-E811-AD77-00505697537D",False,"","",A8499DDF-7690-EB11-80F0-00505697537D,"","","",
E3473CE0-7590-EB11-80F0-00505697537D,861650001,C5AC7B5F-5A09-EB11-B993-00505697537D,0,797,"4890E8AF-5EF9-E811-AD77-00505697537D",False,"","","0A94FEF3-7590-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"5A6417F8-77E8-E711-BFC0-00505697537D",861650002,"3A3A958A-2B24-EB11-B993-00505697537D",3787,3787,"542363A7-2A24-EB11-B993-00505697537D",False,"","",E546A7AE-438D-EB11-A4F8-00505697537D,תלמיד עבר GMAT,"",acc0507c-550a-e311-aa40-005056bd5c9d,
"5A6417F8-77E8-E711-BFC0-00505697537D",861650002,"8DB3A01B-2C24-EB11-B993-00505697537D",2427,2426,B5AFC8A8-2B24-EB11-B993-00505697537D,False,"","",E546A7AE-438D-EB11-A4F8-00505697537D,"","",acc0507c-550a-e311-aa40-005056bd5c9d,
"76D6F52D-7690-EB11-80F0-00505697537D",,"",7970,,"497F1D30-60F9-E811-AD77-00505697537D",False,"","","7AD6F52D-7690-EB11-80F0-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
"596C9644-5A1F-EB11-B993-00505697537D",861650001,"72452815-5309-EB11-B993-00505697537D",7970,0,EDFB06E0-5EF9-E811-AD77-00505697537D,False,"","","5D6C9644-5A1F-EB11-B993-00505697537D","","",dda7219a-a686-e011-942d-005056bd3748,
C7673141-70FF-E311-94DB-005056BD5C9D,861650002,"7955A979-5193-E511-BAC6-005056BD5C9D",2790,2790,F007DF34-948D-E311-BBAE-005056BD5C9D,False,"","","89D9B354-33B5-E511-BAC6-005056BD5C9D","","","",
"15DBE4CB-A622-EB11-B993-00505697537D",861650001,"5F7AB3CE-59BC-EA11-81AC-00505697537D",0,797,"699F895A-5CF9-E811-AD77-00505697537D",False,"","","19DBE4CB-A622-EB11-B993-00505697537D","","","",
FEBE8554-7790-EB11-80F0-00505697537D,861650002,"7339AE9B-5A09-EB11-B993-00505697537D",7970,7970,AE6E1095-5EF9-E811-AD77-00505697537D,False,"","",C10B3E1A-7890-EB11-80F0-00505697537D,"","","",
